Estacion;D13;LAS CONDES;;;;
Fecha de generacion;23-08-2026 17:48;;;;;
;;;;;;
Fecha y hora;MP 10;MP 2,5;SO2;NO2;CO;O3
22-08-2026 17:00;45;22;;22;0,23;54
22-08-2026 18:00;30;16;;18,08;0,18;28
22-08-2026 19:00;55;19;;31,83;0,63;8
22-08-2026 20:00;63;19;;35,67;0,69;4
22-08-2026 21:00;77;27;;35;0,64;4
22-08-2026 22:00;62;25;;32,5;0,56;14
22-08-2026 23:00;53;23;;29,33;0,41;15
23-08-2026 0:00;54;22;;26,58;0,39;15
23-08-2026 1:00;40;17;;20,92;;19
23-08-2026 2:00;38;19;;20,78;0,15;13
23-08-2026 3:00;46;24;;22,67;0,22;10
23-08-2026 4:00;31;12;;16,5;;16
23-08-2026 5:00;26;12;;16,42;0,08;13
23-08-2026 6:00;22;8;;19,25;;11
23-08-2026 7:00;33;7;;18;;14
23-08-2026 8:00;27;14;;14,83;;21
23-08-2026 9:00;33;11;;13,67;0,08;28
23-08-2026 10:00;29;12;;11,5;;35
23-08-2026 11:00;26;12;;10,67;;43
23-08-2026 12:00;53;24;;15,75;0,17;61
23-08-2026 13:00;72;40;;22,42;0,3;69
23-08-2026 14:00;87;40;;19,17;0,22;60
23-08-2026 15:00;74;33;;13,58;0,16;59
23-08-2026 16:00;67;36;;13,5;0,17;50
