Estacion;D15;PUDAHUEL;;;;
Fecha de generacion;23-08-2026 17:48;;;;;
;;;;;;
Fecha y hora;MP 10;MP 2,5;SO2;NO2;CO;O3
22-08-2026 17:00;69;19;;17,17;0,33;52
22-08-2026 18:00;86;25;;21;0,51;48
22-08-2026 19:00;96;26;;37,17;0,81;14
22-08-2026 20:00;139;45;;41,08;1,36;6
22-08-2026 21:00;170;57;;38,25;1,84;6
22-08-2026 22:00;193;79;;38,25;2,45;7
22-08-2026 23:00;165;66;;36,58;2,39;6
23-08-2026 0:00;218;95;;34,25;3,56;7
23-08-2026 1:00;192;89;;30,33;;6
23-08-2026 2:00;137;62;;30,78;2,64;5
23-08-2026 3:00;68;36;;29;1,13;4
23-08-2026 4:00;52;34;;26,42;0,77;4
23-08-2026 5:00;40;29;;20,75;0,51;4
23-08-2026 6:00;88;39;;21,92;0,79;4
23-08-2026 7:00;91;44;;23;0,83;4
23-08-2026 8:00;80;43;;26,5;1,11;7
23-08-2026 9:00;79;36;;29,25;0,72;12
23-08-2026 10:00;64;37;;24,92;0,56;25
23-08-2026 11:00;79;38;;24,58;0,53;37
23-08-2026 12:00;85;33;;14,25;0,43;39
23-08-2026 13:00;119;27;;8,75;0,35;35
23-08-2026 14:00;123;26;;6,83;0,35;36
23-08-2026 15:00;52;22;;6,5;0,3;40
23-08-2026 16:00;44;22;;8,75;0,34;36
