"Estacion";D27;PUENTE ALTO
"Fecha de generacion";2026-08-23 17:48

"Fecha y hora";"MP 10";"MP 2,5";"SO2";"NO2";"CO";"O3"
"2026-08-22 17:00";44;13;;11,5;1,32;38
"2026-08-22 18:00";130;18;;25,33;1,52;21
"2026-08-22 19:00";80;30;;39,83;1,87;6
"2026-08-22 20:00";115;42;;41,92;2,74;2
"2026-08-22 21:00";172;65;;42,42;3,66;3
"2026-08-22 22:00";109;44;;40,25;2,32;2
"2026-08-22 23:00";99;41;;38,5;2,49;2
"2026-08-23 00:00";67;15;;25,33;1,94;5
"2026-08-23 01:00";49;22;;31,67;;4
"2026-08-23 02:00";51;16;;32,44;1,82;2
"2026-08-23 03:00";52;19;;27;1,78;2
"2026-08-23 04:00";40;18;;28,25;1,6;2
"2026-08-23 05:00";45;20;;29,58;1,51;3
"2026-08-23 06:00";40;15;;24,92;1,41;3
"2026-08-23 07:00";40;17;;25,75;1,45;5
"2026-08-23 08:00";99;25;;27,75;1,66;7
"2026-08-23 09:00";48;19;;16,92;1,41;21
"2026-08-23 10:00";58;23;;16,5;1,46;33
"2026-08-23 11:00";58;27;;15,08;1,48;43
"2026-08-23 12:00";77;32;;18,5;1,52;51
"2026-08-23 13:00";82;33;;12,33;1,5;45
"2026-08-23 14:00";70;27;;8,83;1,48;45
"2026-08-23 15:00";52;23;;7,33;1,4;43
"2026-08-23 16:00";53;27;;8;1,4;40
